State,District,Year,Quarter,RegisteredUsers,S.no,Appopens
arunachal-pradesh,"tirap district",2018,2,856,347,0
arunachal-pradesh,"papum pare district",2018,2,11418,348,0
arunachal-pradesh,"anjaw district",2018,2,410,349,0
arunachal-pradesh,"lower siang district",2018,2,494,350,0
arunachal-pradesh,"dibang valley district",2018,2,112,351,0
arunachal-pradesh,"west kameng district",2018,2,3442,352,0
arunachal-pradesh,"shi yomi district",2018,2,80,353,0
arunachal-pradesh,"east kameng district",2018,2,343,354,0
arunachal-pradesh,"lohit district",2018,2,1898,355,0
arunachal-pradesh,"lepa rada district",2018,2,318,356,0
arunachal-pradesh,"lower dibang valley district",2018,2,893,357,0
arunachal-pradesh,"longding district",2018,2,412,358,0
arunachal-pradesh,"west siang district",2018,2,1224,359,0
arunachal-pradesh,"kamle district",2018,2,37,360,0
arunachal-pradesh,"upper siang district",2018,2,481,361,0
arunachal-pradesh,"kurung kumey district",2018,2,153,362,0
arunachal-pradesh,"siang district",2018,2,293,363,0
arunachal-pradesh,"kra daadi district",2018,2,144,364,0
arunachal-pradesh,"changlang district",2018,2,2014,365,0
arunachal-pradesh,"pakke kessang district",2018,2,66,366,0
arunachal-pradesh,"east siang district",2018,2,2646,367,0
arunachal-pradesh,"upper subansiri district",2018,2,883,368,0
arunachal-pradesh,"tawang district",2018,2,2266,369,0
arunachal-pradesh,"namsai district",2018,2,1276,370,0
arunachal-pradesh,"lower subansiri district",2018,3,1033,371,0
arunachal-pradesh,"tirap district",2018,3,1226,372,0
arunachal-pradesh,"papum pare district",2018,3,16009,373,0
arunachal-pradesh,"anjaw district",2018,3,542,374,0
arunachal-pradesh,"lower siang district",2018,3,717,375,0
arunachal-pradesh,"dibang valley district",2018,3,145,376,0
arunachal-pradesh,"west kameng district",2018,3,4765,377,0
arunachal-pradesh,"shi yomi district",2018,3,118,378,0
arunachal-pradesh,"east kameng district",2018,3,521,379,0
arunachal-pradesh,"lohit district",2018,3,2612,380,0
arunachal-pradesh,"lepa rada district",2018,3,431,381,0
arunachal-pradesh,"lower dibang valley district",2018,3,1286,382,0
arunachal-pradesh,"longding district",2018,3,644,383,0
arunachal-pradesh,"west siang district",2018,3,1652,384,0
arunachal-pradesh,"kamle district",2018,3,65,385,0
arunachal-pradesh,"upper siang district",2018,3,646,386,0
arunachal-pradesh,"kurung kumey district",2018,3,222,387,0
arunachal-pradesh,"siang district",2018,3,373,388,0
arunachal-pradesh,"kra daadi district",2018,3,190,389,0
arunachal-pradesh,"changlang district",2018,3,2889,390,0
arunachal-pradesh,"pakke kessang district",2018,3,103,391,0
arunachal-pradesh,"east siang district",2018,3,3590,392,0
arunachal-pradesh,"upper subansiri district",2018,3,1169,393,0
arunachal-pradesh,"tawang district",2018,3,3112,394,0
arunachal-pradesh,"namsai district",2018,3,1862,395,0
arunachal-pradesh,"lower subansiri district",2018,4,1459,396,0
arunachal-pradesh,"tirap district",2018,4,1684,397,0
arunachal-pradesh,"papum pare district",2018,4,21342,398,0
arunachal-pradesh,"anjaw district",2018,4,744,399,0
arunachal-pradesh,"lower siang district",2018,4,936,400,0
arunachal-pradesh,"dibang valley district",2018,4,178,401,0
arunachal-pradesh,"west kameng district",2018,4,6492,402,0
arunachal-pradesh,"shi yomi district",2018,4,144,403,0
arunachal-pradesh,"east kameng district",2018,4,691,404,0
arunachal-pradesh,"lohit district",2018,4,3588,405,0
arunachal-pradesh,"lepa rada district",2018,4,548,406,0
arunachal-pradesh,"lower dibang valley district",2018,4,1827,407,0
arunachal-pradesh,"longding district",2018,4,923,408,0
arunachal-pradesh,"west siang district",2018,4,2117,409,0
arunachal-pradesh,"kamle district",2018,4,109,410,0
arunachal-pradesh,"upper siang district",2018,4,868,411,0
arunachal-pradesh,"kurung kumey district",2018,4,321,412,0
arunachal-pradesh,"siang district",2018,4,483,413,0
arunachal-pradesh,"kra daadi district",2018,4,255,414,0
arunachal-pradesh,"changlang district",2018,4,4036,415,0
arunachal-pradesh,"pakke kessang district",2018,4,138,416,0
arunachal-pradesh,"east siang district",2018,4,4813,417,0
arunachal-pradesh,"upper subansiri district",2018,4,1576,418,0
arunachal-pradesh,"tawang district",2018,4,4085,419,0
arunachal-pradesh,"namsai district",2018,4,2495,420,0
arunachal-pradesh,"lower subansiri district",2019,1,1879,421,0
arunachal-pradesh,"tirap district",2019,1,2082,422,0
arunachal-pradesh,"papum pare district",2019,1,26298,423,0
arunachal-pradesh,"anjaw district",2019,1,934,424,0
arunachal-pradesh,"lower siang district",2019,1,1123,425,0
arunachal-pradesh,"dibang valley district",2019,1,211,426,0
arunachal-pradesh,"west kameng district",2019,1,8115,427,0
arunachal-pradesh,"shi yomi district",2019,1,186,428,0
arunachal-pradesh,"east kameng district",2019,1,876,429,0
arunachal-pradesh,"lohit district",2019,1,4416,430,0
arunachal-pradesh,"lepa rada district",2019,1,710,431,0
arunachal-pradesh,"lower dibang valley district",2019,1,2314,432,0
arunachal-pradesh,"longding district",2019,1,1152,433,0
arunachal-pradesh,"west siang district",2019,1,2656,434,0
arunachal-pradesh,"kamle district",2019,1,141,435,0
arunachal-pradesh,"upper siang district",2019,1,1125,436,0
arunachal-pradesh,"kurung kumey district",2019,1,385,437,0
arunachal-pradesh,"siang district",2019,1,651,438,0
arunachal-pradesh,"kra daadi district",2019,1,350,439,0
arunachal-pradesh,"changlang district",2019,1,5210,440,0
arunachal-pradesh,"pakke kessang district",2019,1,162,441,0
arunachal-pradesh,"east siang district",2019,1,5899,442,0
arunachal-pradesh,"upper subansiri district",2019,1,1906,443,0
arunachal-pradesh,"tawang district",2019,1,5023,444,0
arunachal-pradesh,"namsai district",2019,1,3153,445,0
arunachal-pradesh,"lower subansiri district",2019,2,2463,446,11644
arunachal-pradesh,"tirap district",2019,2,2697,447,12779
arunachal-pradesh,"papum pare district",2019,2,32800,448,163673
arunachal-pradesh,"anjaw district",2019,2,1175,449,4993
arunachal-pradesh,"lower siang district",2019,2,1457,450,7737
arunachal-pradesh,"dibang valley district",2019,2,241,451,258
arunachal-pradesh,"west kameng district",2019,2,9782,452,73944
arunachal-pradesh,"shi yomi district",2019,2,225,453,24
arunachal-pradesh,"east kameng district",2019,2,1075,454,4146
